,doc,word,wordavg,percent_of_total,JSD,final_JSD,dt,vector,wordCount_x,doc_id,wordCount_y
0,1990,Acute_hepatitis,0.0026176526333333,0.00382235,0.0075401832816929405,0.0898762147897635,01/01/1990,1990.0,166343.0,1990.0,3784748.0
1,1990,Alcohol_use_disorders,0.0032809171,0.002674494,0.003938336404982225,0.0898762147897635,01/01/1990,1990.0,116390.0,1990.0,4818867.0
2,1990,Alzheimer_s_disease_and_other_dementias,0.0199930084666666,0.012882241,0.019849140439470246,0.0898762147897635,01/01/1990,1990.0,560616.0,1990.0,29767210.0
3,1990,Cardiovascular_diseases,0.3039135356333333,0.277173491,0.02082604513216947,0.0898762147897635,01/01/1990,1990.0,12062179.0,1990.0,447714842.0
4,1990,Chronic_kidney_disease,0.0194712654666666,0.01380849,0.015688919643551714,0.0898762147897635,01/01/1990,1990.0,600925.0,1990.0,28909412.0
5,1990,Chronic_respiratory_diseases,0.0712593995333333,0.071067658,0.00026367739295200696,0.0898762147897635,01/01/1990,1990.0,3092759.0,1990.0,104603397.0
6,1990,Cirrhosis_and_other_chronic_liver_diseases,0.0254569589333333,0.023264189,0.005029574144673408,0.0898762147897635,01/01/1990,1990.0,1012423.0,1990.0,37476376.0
7,1990,Conflict_and_terrorism,0.0022595191,0.002672104,0.002942915188703151,0.0898762147897635,01/01/1990,1990.0,116286.0,1990.0,3294053.0
8,1990,Diabetes_mellitus,0.0211992707333333,0.01519089,0.015929423286662366,0.0898762147897635,01/01/1990,1990.0,661085.0,1990.0,31445907.0
9,1990,Diarrheal_diseases,0.0457486245666666,0.06652242,0.03199484502192227,0.0898762147897635,01/01/1990,1990.0,2894957.0,1990.0,66234950.0
10,1990,Digestive_diseases,0.0446275642333333,0.042611563,0.003489862279239565,0.0898762147897635,01/01/1990,1990.0,1854392.0,1990.0,65634720.0
11,1990,Drowning,0.0071236388333333,0.010580784,0.01309067891972869,0.0898762147897635,01/01/1990,1990.0,460460.0,1990.0,10301680.0
12,1990,Drug_use_disorders,0.0017981281999999,0.001289865,0.004587155835861817,0.0898762147897635,01/01/1990,1990.0,56133.0,1990.0,2656068.0
13,1990,Environmental_heat_and_cold_exposure,0.0012280231333333,0.001265484,0.0003753371694481381,0.0898762147897635,01/01/1990,1990.0,55072.0,1990.0,1788841.0
14,1990,Exposure_to_forces_of_nature,0.001022777,0.0011539,0.0014064350676556074,0.0898762147897635,01/01/1990,1990.0,50216.0,1990.0,1490132.0
15,1990,Fire__heat__and_hot_substances,0.0024682614333333,0.00282921,0.002483846557091874,0.0898762147897635,01/01/1990,1990.0,123123.0,1990.0,3602770.0
16,1990,HIV_AIDS,0.0246658895666666,0.007722207,0.04864758630602735,0.0898762147897635,01/01/1990,1990.0,336059.0,1990.0,36363057.0
17,1990,Interpersonal_violence,0.0087111634666666,0.008559506,0.0005795157771888753,0.0898762147897635,01/01/1990,1990.0,372497.0,1990.0,12750846.0
18,1990,Lower_respiratory_infections,0.0575575027666666,0.076249475,0.026490239825727832,0.0898762147897635,01/01/1990,1990.0,3318264.0,1990.0,83768028.0
19,1990,Malaria,0.0173775603333333,0.019308953,0.005089862973678987,0.0898762147897635,01/01/1990,1990.0,840297.0,1990.0,25342671.0
20,1990,Maternal_disorders,0.0053175714333333,0.006949203,0.007399507979956609,0.0898762147897635,01/01/1990,1990.0,302419.0,1990.0,7726815.0
21,1990,Meningitis,0.0072578576333333,0.009932623,0.01026506258876303,0.0898762147897635,01/01/1990,1990.0,432253.0,1990.0,10524355.0
22,1990,Neonatal_disorders,0.0528678873,0.06904144,0.0239340083457656,0.0898762147897635,01/01/1990,1990.0,3004581.0,1990.0,76857422.0
23,1990,Neoplasms,0.1556181686999999,0.13218732,0.023613138435968056,0.0898762147897635,01/01/1990,1990.0,5752596.0,1990.0,229747730.0
24,1990,Nutritional_deficiencies,0.0096164945999999,0.017390483,0.02398101947724162,0.0898762147897635,01/01/1990,1990.0,756808.0,1990.0,13791568.0
25,1990,Parkinson_s_disease,0.0048331239,0.003381457,0.008045905027818748,0.0898762147897635,01/01/1990,1990.0,147156.0,1990.0,7179349.0
26,1990,Poisonings,0.0017805711666666,0.002021002,0.00195225392041575,0.0898762147897635,01/01/1990,1990.0,87951.0,1990.0,2601033.0
27,1990,Protein_energy_malnutrition,0.0083915299,0.015073469,0.022090378071158392,0.0898762147897635,01/01/1990,1990.0,655975.0,1990.0,12031459.0
28,1990,Road_injuries_,0.0247633793333333,0.025570036,0.0018208510365131084,0.0898762147897635,01/01/1990,1990.0,1112770.0,1990.0,36293801.0
29,1990,Self_harm,0.0162162425333333,0.016976774,0.002104828158760365,0.0898762147897635,01/01/1990,1990.0,738804.0,1990.0,23713260.0
30,1990,Tuberculosis,0.0315565127333333,0.040826921,0.017572322150949376,0.0898762147897635,01/01/1990,1990.0,1776727.0,1990.0,45849852.0
31,1991,Acute_hepatitis,0.0026176526333333,0.003751181,0.007132133648594642,0.08441128322784126,01/01/1991,1991.0,165276.0,1991.0,3784748.0
32,1991,Alcohol_use_disorders,0.0032809171,0.002779817,0.00322506224260428,0.08441128322784126,01/01/1991,1991.0,122478.0,1991.0,4818867.0
33,1991,Alzheimer_s_disease_and_other_dementias,0.0199930084666666,0.013235805,0.018754659085670228,0.08441128322784126,01/01/1991,1991.0,583166.0,1991.0,29767210.0
34,1991,Cardiovascular_diseases,0.3039135356333333,0.277357176,0.020681015745258227,0.08441128322784126,01/01/1991,1991.0,12220282.0,1991.0,447714842.0
35,1991,Chronic_kidney_disease,0.0194712654666666,0.0139263,0.01533408464487845,0.08441128322784126,01/01/1991,1991.0,613589.0,1991.0,28909412.0
36,1991,Chronic_respiratory_diseases,0.0712593995333333,0.071455001,0.000268648195670253,0.08441128322784126,01/01/1991,1991.0,3148288.0,1991.0,104603397.0
37,1991,Cirrhosis_and_other_chronic_liver_diseases,0.0254569589333333,0.023306317,0.004930834411854708,0.08441128322784126,01/01/1991,1991.0,1026870.0,1991.0,37476376.0
38,1991,Conflict_and_terrorism,0.0022595191,0.001929585,0.0025527977352432702,0.08441128322784126,01/01/1991,1991.0,85017.0,1991.0,3294053.0
39,1991,Diabetes_mellitus,0.0211992707333333,0.015425197,0.015257034679246198,0.08441128322784126,01/01/1991,1991.0,679630.0,1991.0,31445907.0
40,1991,Diarrheal_diseases,0.0457486245666666,0.065889761,0.031098820124532196,0.08441128322784126,01/01/1991,1991.0,2903085.0,1991.0,66234950.0
41,1991,Digestive_diseases,0.0446275642333333,0.042612949,0.003487436351982229,0.08441128322784126,01/01/1991,1991.0,1877515.0,1991.0,65634720.0
42,1991,Drowning,0.0071236388333333,0.010312705,0.012162428638633132,0.08441128322784126,01/01/1991,1991.0,454375.0,1991.0,10301680.0
43,1991,Drug_use_disorders,0.0017981281999999,0.001404684,0.003483239441088405,0.08441128322784126,01/01/1991,1991.0,61890.0,1991.0,2656068.0
44,1991,Environmental_heat_and_cold_exposure,0.0012280231333333,0.001285936,0.0005779074150288124,0.08441128322784126,01/01/1991,1991.0,56658.0,1991.0,1788841.0
45,1991,Exposure_to_forces_of_nature,0.001022777,0.003553177,0.019263119756515155,0.08441128322784126,01/01/1991,1991.0,156552.0,1991.0,1490132.0
46,1991,Fire__heat__and_hot_substances,0.0024682614333333,0.002813022,0.0023759978667231797,0.08441128322784126,01/01/1991,1991.0,123941.0,1991.0,3602770.0
47,1991,HIV_AIDS,0.0246658895666666,0.009775934,0.04113170536321772,0.08441128322784126,01/01/1991,1991.0,430725.0,1991.0,36363057.0
